Sp,lon,lat,Source
Slat,-80.208333,63.791667,SIMEP
Slat,-80.875,63.541667,SIMEP
Slat,-81.958333,62.958333,SIMEP
Slat,-82.375,63.625,SIMEP
Slat,-87.291667,63.708333,SIMEP
Slat,-86.375,64.291667,SIMEP
Slat,-78.791667,70.208333,CAISN DFO
Slat,-78.375,70.208333,CAISN DFO
Slat,-51.958333,64.125,Shoenrock et al
Slat,-52.041667,64.208333,Shoenrock et al
Slat,-50.791667,64.708333,Shoenrock et al
Slat,-51.041667,64.625,Shoenrock et al
Slat,-51.125,64.541667,Shoenrock et al
Slat,-50.458333,64.625,Shoenrock et al
Slat,-50.208333,64.458333,Shoenrock et al
Slat,-50.791667,64.458333,Shoenrock et al
Slat,-51.291667,64.208333,Shoenrock et al
Slat,-50.458333,64.125,Shoenrock et al
Slat,-51.458333,64.041667,Shoenrock et al
Slat,-51.625,64.125,Shoenrock et al
Slat,-64.708333,62.791667,GBIF
Slat,-64.458333,62.458333,GBIF
Slat,-81.708333,69.375,GBIF
Slat,-67.958333,62.125,GBIF
Slat,-69.291667,77.375,GBIF
Slat,11.125,79.125,Hop et al 2016
Slat,11.625,79.041667,Hop et al 2016
Slat,12.041667,78.541667,Hop et al 2016
Slat,12.291667,78.458333,Hop et al 2016
Slat,-70.208333,60.041667,Filbee-Dexter et al
Slat,-69.958333,59.958333,Filbee-Dexter et al
Slat,-55.625,53.208333,Filbee-Dexter et al
Slat,-69.708333,60.041667,Filbee-Dexter et al
Slat,-51.625,70.708333,Filbee-Dexter et al
Slat,-53.625,69.458333,Filbee-Dexter et al
Slat,-50.375,69.791667,Filbee-Dexter et al
Slat,6.541667,62.791667,Filbee-Dexter et al
Slat,11.541667,65.708333,Filbee-Dexter et al
Slat,12.125,65.708333,Filbee-Dexter et al
Slat,16.791667,69.125,Filbee-Dexter et al
Slat,16.875,69.291667,Filbee-Dexter et al
Slat,16.958333,69.041667,Filbee-Dexter et al
Slat,29.458333,70.708333,Filbee-Dexter et al
Slat,30.125,69.875,Filbee-Dexter et al
Slat,33.041667,69.041667,Filbee-Dexter et al
Slat,33.375,69.125,Filbee-Dexter et al
Slat,33.625,66.458333,Filbee-Dexter et al
Slat,33.791667,66.208333,Filbee-Dexter et al
Slat,-107.625,66.791667,Museum
