Sp,lon,lat,source
Aesc,-4.958333333,51.625,OBIS
Aesc,-4.625,52.95833333,OBIS
Aesc,-4.708333333,52.875,OBIS
Aesc,-4.458333333,53.20833333,OBIS
Aesc,-5.291666667,51.70833333,OBIS
Aesc,-8.375,54.875,OBIS
Aesc,-4.958333333,54.70833333,OBIS
Aesc,-5.791666667,59.125,OBIS
Aesc,-2.125,55.79166667,OBIS
Aesc,-5.291666667,51.70833333,OBIS
Aesc,-4.625,53.29166667,OBIS
Aesc,-2.458333333,56.70833333,OBIS
Aesc,-5.125,54.70833333,OBIS
Aesc,-145.2916667,70.04166667,OBIS
Aesc,-5.291666667,51.875,OBIS
Aesc,-6.291666667,49.95833333,OBIS
Aesc,-17.625,65.95833333,OBIS
Aesc,-66.95833333,44.875,OBIS
Aesc,-1.708333333,60.375,OBIS
Aesc,-5.791666667,59.125,OBIS
Aesc,-4.458333333,53.45833333,OBIS
Aesc,-4.625,53.45833333,OBIS
Aesc,-5.125,54.875,OBIS
Aesc,-5.458333333,51.70833333,OBIS
Aesc,-5.708333333,56.20833333,OBIS
Aesc,-4.625,53.375,OBIS
Aesc,-2.541666667,56.20833333,OBIS
Aesc,-8.458333333,54.875,OBIS
Aesc,-5.125,51.70833333,OBIS
Aesc,-70.79166667,41.375,OBIS
Aesc,-5.208333333,51.70833333,OBIS
Aesc,-6.625,57.04166667,OBIS
Aesc,-6.708333333,55.20833333,OBIS
Aesc,-14.375,64.70833333,OBIS
Aesc,-4.458333333,54.625,OBIS
Aesc,-5.791666667,57.875,OBIS
Aesc,-4.708333333,53.20833333,OBIS
Aesc,-2.458333333,59.29166667,OBIS
Aesc,-5.791666667,57.875,OBIS
Aesc,19.125,74.375,OBIS
Aesc,-9.791666667,53.29166667,OBIS
Aesc,-14.29166667,64.70833333,OBIS
Aesc,-4.458333333,53.45833333,OBIS
Aesc,15.54166667,76.79166667,OBIS
Aesc,-4.708333333,52.875,OBIS
Aesc,-14.29166667,64.70833333,OBIS
Aesc,-5.208333333,51.70833333,OBIS
Aesc,-4.875,54.04166667,OBIS
Aesc,-1.208333333,60.04166667,OBIS
Aesc,-5.125,58.45833333,OBIS
Aesc,-4.458333333,54.625,OBIS
Aesc,-14.04166667,64.70833333,OBIS
Aesc,19.20833333,74.375,OBIS
Aesc,-5.791666667,57.875,OBIS
Aesc,-5.791666667,59.125,OBIS
Aesc,-23.625,64.79166667,OBIS
Aesc,-5.458333333,54.375,OBIS
Aesc,-5.875,54.875,OBIS
Aesc,-66.79166667,44.79166667,OBIS
Aesc,-8.875,42.20833333,OBIS
Aesc,-2.541666667,56.20833333,OBIS
Aesc,-3.708333333,58.95833333,OBIS
Aesc,-5.125,58.375,OBIS
Aesc,-4.875,51.625,OBIS
Aesc,-17.20833333,66.20833333,OBIS
Aesc,-5.791666667,59.125,OBIS
Aesc,-1.125,60.04166667,OBIS
Aesc,-1.708333333,60.375,OBIS
Aesc,-4.625,53.45833333,OBIS
Aesc,-1.708333333,60.29166667,OBIS
Aesc,-4.625,52.79166667,OBIS
Aesc,-1.125,59.95833333,OBIS
Aesc,-7.125,57.625,OBIS
Aesc,-147.5416667,70.29166667,OBIS
Aesc,-147.5416667,70.29166667,OBIS
Aesc,-4.375,54.70833333,OBIS
Aesc,-4.375,54.79166667,OBIS
Aesc,19.125,74.375,OBIS
Aesc,-5.291666667,51.70833333,OBIS
Aesc,-4.291666667,53.45833333,OBIS
Aesc,-4.875,52.04166667,OBIS
Aesc,-5.291666667,51.70833333,OBIS
Aesc,-9.791666667,53.29166667,OBIS
Aesc,-4.708333333,52.79166667,OBIS
Aesc,-4.208333333,54.79166667,OBIS
Aesc,-6.958333333,52.125,OBIS
Aesc,-5.291666667,51.875,OBIS
Aesc,-5.291666667,51.70833333,OBIS
Aesc,-5.291666667,51.79166667,OBIS
Aesc,-4.041666667,54.79166667,OBIS
Aesc,-4.625,52.95833333,OBIS
Aesc,-5.791666667,59.125,OBIS
Aesc,-2.125,55.95833333,OBIS
Aesc,-4.958333333,50.54166667,OBIS
Aesc,-147.5416667,70.29166667,OBIS
Aesc,-5.291666667,51.70833333,OBIS
Aesc,-5.791666667,57.875,OBIS
Aesc,-7.125,57.625,OBIS
Aesc,-5.041666667,51.625,OBIS
Aesc,-147.5416667,70.29166667,OBIS
Aesc,-5.208333333,51.70833333,OBIS
Aesc,-4.791666667,52.79166667,OBIS
Aesc,-5.208333333,51.79166667,OBIS
Aesc,-6.541666667,57.04166667,OBIS
Aesc,-5.208333333,51.70833333,OBIS
Aesc,-17.625,65.95833333,OBIS
Aesc,-6.458333333,57.04166667,OBIS
Aesc,-5.458333333,51.70833333,OBIS
Aesc,-5.958333333,55.04166667,OBIS
Aesc,-66.95833333,44.79166667,OBIS
Aesc,-8.625,57.79166667,OBIS
Aesc,-65.375,44.95833333,OBIS
Aesc,-4.125,54.79166667,OBIS
Aesc,-4.458333333,53.45833333,OBIS
Aesc,-4.708333333,52.125,OBIS
Aesc,-14.125,64.70833333,OBIS
Aesc,-6.541666667,57.04166667,OBIS
Aesc,-4.625,52.79166667,OBIS
Aesc,-4.625,54.04166667,OBIS
Aesc,-1.708333333,60.29166667,OBIS
Aesc,-5.791666667,59.125,OBIS
Aesc,-5.791666667,56.20833333,OBIS
Aesc,-2.458333333,56.70833333,OBIS
Aesc,-5.208333333,51.875,OBIS
Aesc,-4.208333333,54.79166667,OBIS
