Sp,lon,lat,Source,
Ldig,11.54166667,57.875,OBIS,
Ldig,11.375,58.20833333,OBIS,
Ldig,11.375,58.20833333,OBIS,
Ldig,-1.625,60.29166667,OBIS,
Ldig,-4.958333333,51.625,OBIS,
Ldig,11.875,57.375,OBIS,
Ldig,11.70833333,57.625,OBIS,
Ldig,11.70833333,57.54166667,OBIS,
Ldig,11.875,57.45833333,OBIS,
Ldig,-4.625,52.95833333,OBIS,
Ldig,-4.958333333,51.625,OBIS,
Ldig,11.375,58.20833333,OBIS,
Ldig,-1.041666667,54.625,OBIS,
Ldig,11.375,58.29166667,OBIS,
Ldig,11.875,57.45833333,OBIS,
Ldig,-4.708333333,51.625,OBIS,
Ldig,-7.125,57.625,OBIS,
Ldig,-4.208333333,52.29166667,OBIS,
Ldig,-5.291666667,51.70833333,OBIS,
Ldig,12.54166667,56.29166667,OBIS,
Ldig,-5.041666667,58.45833333,OBIS,
Ldig,12.125,57.20833333,OBIS,
Ldig,-4.875,51.625,OBIS,
Ldig,11.625,57.625,OBIS,
Ldig,-4.958333333,51.625,OBIS,
Ldig,-4.541666667,47.95833333,OBIS,
Ldig,12.45833333,56.875,OBIS,
Ldig,-4.708333333,51.625,OBIS,
Ldig,12.04166667,57.20833333,OBIS,
Ldig,11.875,57.375,OBIS,
Ldig,-5.125,51.70833333,OBIS,
Ldig,11.875,57.375,OBIS,
Ldig,11.625,57.625,OBIS,
Ldig,-4.041666667,53.29166667,OBIS,
Ldig,11.45833333,57.875,OBIS,
Ldig,-3.875,53.375,OBIS,
Ldig,12.125,57.20833333,OBIS,
Ldig,-5.208333333,51.70833333,OBIS,
Ldig,-5.291666667,51.70833333,OBIS,
Ldig,12.45833333,56.29166667,OBIS,
Ldig,-0.458333333,49.375,OBIS,
Ldig,-1.125,59.95833333,OBIS,
Ldig,11.875,57.45833333,OBIS,
Ldig,-4.541666667,53.375,OBIS,
Ldig,-4.625,53.29166667,OBIS,
Ldig,11.375,58.20833333,OBIS,
Ldig,-5.291666667,51.875,OBIS,
