Sp,lon,lat,Source
Aesc,-145.2916667,70.04166667,OBIS
Aesc,-17.625,65.95833333,OBIS
Aesc,-14.375,64.70833333,OBIS
Aesc,19.125,74.375,OBIS
Aesc,15.54166667,76.79166667,OBIS
Aesc,-14.04166667,64.70833333,OBIS
Aesc,-23.625,64.79166667,OBIS
Aesc,-17.20833333,66.20833333,OBIS
Aesc,-147.5416667,70.29166667,OBIS
Aesc,-13.70833333,65.20833333,OBIS
Aesc,-14.20833333,64.625,OBIS
Aesc,-22.04166667,64.45833333,OBIS
Aesc,26.54166667,76.54166667,OBIS
Aesc,-16.70833333,66.29166667,OBIS
Aesc,-23.04166667,64.70833333,OBIS
Aesc,-23.79166667,64.70833333,OBIS
Aesc,-23.95833333,64.875,OBIS
Aesc,-13.54166667,65.29166667,OBIS
Aesc,19.29166667,74.45833333,OBIS
Aesc,-23.79166667,64.95833333,OBIS
Aesc,18.79166667,74.45833333,OBIS
Aesc,-22.875,64.79166667,OBIS
Aesc,-23.70833333,64.875,OBIS
Aesc,-166.2083333,64.45833333,GBIF
Aesc,-63.54166667,59.29166667,GBIF
Aesc,-94.20833333,58.79166667,GBIF
Aesc,-62.20833333,67.04166667,GBIF
Aesc,-64.375,60.20833333,GBIF
Aesc,-93.875,58.79166667,GBIF
Aesc,-64.04166667,67.54166667,GBIF
Aesc,-166.5416667,53.875,GBIF
Aesc,-94.875,74.70833333,GBIF
Aesc,-147.5416667,70.375,GBIF
Aesc,-166.875,53.625,GBIF
Aesc,24.29166667,70.70833333,GBIF
Aesc,-6.875,62.125,GBIF
Aesc,-156.4583333,71.29166667,GBIF
Aesc,-14.95833333,64.20833333,GBIF
Aesc,-14.45833333,64.45833333,GBIF
Aesc,-13.79166667,64.79166667,GBIF
Aesc,-13.95833333,65.20833333,GBIF
Aesc,-14.875,65.70833333,GBIF
Aesc,-14.625,65.79166667,GBIF
Aesc,-14.70833333,66.04166667,GBIF
Aesc,-13.70833333,64.95833333,GBIF
Aesc,-20.70833333,65.70833333,GBIF
Aesc,-19.70833333,65.875,GBIF
Aesc,-15.125,66.125,GBIF
Aesc,-15.54166667,66.20833333,GBIF
Aesc,-14.95833333,66.375,GBIF
Aesc,-17.875,66.125,GBIF
Aesc,-16.54166667,66.45833333,GBIF
Aesc,-16.04166667,66.625,GBIF
Aesc,-22.875,66.29166667,GBIF
Aesc,-21.29166667,65.54166667,GBIF
Aesc,-21.45833333,65.70833333,GBIF
Aesc,-23.20833333,64.95833333,GBIF
Aesc,-24.54166667,65.54166667,GBIF
Aesc,-22.29166667,64.04166667,GBIF
Aesc,-22.70833333,63.95833333,GBIF
Aesc,-22.375,64.625,GBIF
Aesc,30.70833333,70.29166667,GBIF
Aesc,14.875,67.125,GBIF
Aesc,-6.708333333,61.625,GBIF
Aesc,20.04166667,69.79166667,GBIF
Aesc,16.79166667,79.95833333,GBIF
Aesc,-18.54166667,76.625,GBIF
Aesc,-26.29166667,70.45833333,GBIF
Aesc,-50.70833333,63.04166667,GBIF
Aesc,-31.70833333,68.125,GBIF
Aesc,-22.95833333,66.04166667,GBIF
Aesc,-16.95833333,66.125,GBIF
Aesc,-21.95833333,65.04166667,GBIF
Aesc,-21.95833333,63.95833333,GBIF
