Accession No,Collector Number,"DateYear All the samples have collection, dates. We had a challenge determinng how to format the date and what field(s) Here is presented identification date, when specifically identified on th eherbarium sheet",Identifier Name,Phylum,Class,Order,Family,Genus,Species,Variety,Form,Continent,Country,Territory,District,Locality,Latitude,Longitude
3352,6891,1967,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,agardhii,,,North America,Canada,Nova Scotia,Inverness County,Cheticamp Cape Breton Island.   ,46.63,-61.02
3386,6899,1967,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,agardhii,,,North America,Canada,Prince Edward Island,Queens County,Brackley Point    ,46.38,-63.18
3391,6901,,"Macoun, J",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,longicruris,,,North America,Canada,Prince Edward Island,Queens County,Brackley Point    ,,
3392,6902,1888,"Macoun, J",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,North America,Canada,Prince Edward Island,Queens County,Brackley Point    ,46.43,-63.23
3393,6903,1888,"Macoun, J",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,North America,Canada,Prince Edward Island,Queens County,Brackley Point    ,46.43,-63.23
3394,6904,1967,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,saccharina,,,North America,Canada,Prince Edward Island,Queens County,Brackley Point    ,,
3395,6905,1967,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,agardhii,,,North America,Canada,Prince Edward Island,Queens County,Brackley Point    ,46.38,-63.18
3396,6906,1967,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,agardhii,,,North America,Canada,Prince Edward Island,Queens County,Brackley Point    ,46.38,-63.18
3397,6907,1967,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,North America,Canada,Prince Edward Island,Queens County,Brackley Point    ,46.43,-63.23
3635,6980,1985,"Poulin, M",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,saccharina,,,North America,Canada,British Columbia,Vancouver Island,Ucluelet Inlet North of Barkley Sound west coast of Vancouver Island.  ,,
3895,7061,,"Rosenvinge, L.K.",Phaeophyta,Phaeophyceae,Laminariales,Alariaceae,Alaria,pylaii,,,North Atlantic,Greenland,,,Arsuk Fiord.   ,61.25,-48.5
