Accession No,Collector Number,"DateYear All the samples have collection, dates. We had a challenge determinng how to format the date and what field(s) Here is presented identification date, when specifically identified on th eherbarium sheet",Identifier Name,Phylum,Class,Order,Family,Genus,Species,Variety,Form,Continent,Country,Territory,District,Locality,Latitude,Longitude
7613,9006,1974,"Hooper, R",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,solidungula,,,North America,Canada,Québec,Nouveau-Québec Territory,"Hudson Strait Quebec ""west shore of Wakeham Bay, Nichols Point to promontory opposite thesettlement.""  ",61.65,-72
7614,9007,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,longicruris,,,North America,Canada,Québec,Nouveau-Québec Territory,"Hudson Strait Northern Quebec ""west shore of Ivugivik Harbour, from Ivugivik Point to 1000 m south.""  ",62.425,-77.9133
7620,9010,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,saccharina,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Mould Bay east side of bay between weather station and cliff shore north of the station.  ,76.2583,-119.4
7621,9011,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,saccharina,,,North America,Canada,Northwest Territory,Franklin District,Eglington Island In Kellett Strait between Samuel Point and Pedder Point.   ,75.5133,-118.5167
7622,9012,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,groenlandica,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Mould Bay east side of bay between weather station and cliff shore north of the station.  ,76.2583,-119.4
7625,9015,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,groenlandica,,,North America,Canada,Northwest Territory,Franklin District,Prince Patrick Island Cape Mecham in M'Clure Strait.   ,75.73,-121.02
7627,9017,1974,"Hooper, R",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,solidungula,,,North America,Canada,Northwest Territory,Franklin District,"Brock Island ""East side, in channel between Brock Island and Mackenzie King Island.""   ",77.85,-113.6
7630,9019,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,longicruris,,,North America,Canada,Northwest Territory,Franklin District,"Hudson Strait Baffin Island ""east shore of Nascopie Point to Ongalaota Island, Westbourne Bay, North Bay.""  ",62.82,-69.83
7631,9020,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,saccharina,,,North America,Canada,Northwest Territory,Franklin District,Westbourne Bay East shore of Nascopie Point to Ongalaota Island North Bay Baffin Island Hudson Strait.,62.82,-69.83
7632,9021,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,longicruris,,,North America,Canada,Northwest Territory,Franklin District,"Hudson Strait Baffin Island ""northeast side of Negus Bay, near Cape Dorset.""  ",64.28,-72.37
7633,9022,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,longicruris,,,North America,Canada,Northwest Territory,Franklin District,"Hudson Strait Baffin Island ""northeast side of Negus Bay, near Cape Dorset.""  ",64.28,-72.37
7634,9023,1974,"Hooper, R",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,solidungula,,,North America,Canada,Northwest Territory,Franklin District,"Hudson Strait Baffin Island ""east shore of Nascopie Point to Ongalaota Island, Westbourne Bay, North Bay.""  ",62.82,-69.83
7635,9024,1974,"Hooper, R",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,solidungula,,,North America,Canada,Northwest Territory,Franklin District,"Hudson Strait Baffin Island ""east shore of Nascopie Point to Ongalaota Island, Westbourne Bay, North Bay.""  ",62.82,-69.83
7636,9025,1974,"Hooper, R",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,solidungula,,,North America,Canada,Northwest Territory,Franklin District,"Hudson Strait Baffin Island ""east shore of Nascopie Point to Ongalaota Island, Westbourne Bay, North Bay.""  ",62.82,-69.83
7637,9026,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,North America,Canada,Northwest Territory,Franklin District,"Hudson Strait Baffin Island ""NE side of Negus Bay, near Cape Dorset.""  ",64.28,-72.37
7638,9027,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,North America,Canada,Northwest Territory,Franklin District,"Hudson Strait Baffin Island ""NE side of Negus Bay, near Cape Dorset.""  ",64.28,-72.37
7639,9028,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,North America,Canada,Northwest Territory,Franklin District,"Baffin Island Northern ""Arctic Bay settlement to Oulouksione Point, Arctic Bay, Adams Sound.""  ",73.02,-85.15
7640,9029,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,North America,Canada,Northwest Territory,Franklin District,"Baffin Island Hudson Strait ""east shore of Nascopie Point to Ongalaota Island, Westbourne Bay, North Bay.""  ",62.82,-69.83
7641,9030,,"Lee, R.K.S",Phaeophyta,Phaeophyceae,Laminariales,Laminariaceae,Agarum,cribrosum,,,North America,Canada,Northwest Territory,Franklin District,"Baffin Island Hudson Strait ""east shore of Nascopie Point to Ongalaota Island, Westbourne Bay, North Bay.""  ",62.82,-69.83
