Model.name,Eval.metric,Testing.data,Evaluating.data,Cutoff,Sensitivity,Specificity,sps
GAM_RUN2_PA1,TSS,0.843,NA,412,93.333,91,Acla
GAM_RUN2_PA1,ROC,0.953,NA,410,93.333,91,Acla
GAM_RUN2_PA1,FAR,0.75,NA,948,62.222,97,Acla
GAM_RUN2_PA1,ACCURACY,0.925,NA,905,75.556,94.667,Acla
GAM_RUN2_PA1,SR,0.75,NA,948,62.222,97,Acla
MAXENT.Phillips_RUN3_PA1,TSS,0.716,NA,40,88.889,82.667,Acla
MAXENT.Phillips_RUN3_PA1,ROC,0.874,NA,44,88.889,83,Acla
MAXENT.Phillips_RUN3_PA1,FAR,0.667,NA,803,53.333,96,Acla
MAXENT.Phillips_RUN3_PA1,ACCURACY,0.904,NA,591,55.556,95.667,Acla
MAXENT.Phillips_RUN3_PA1,SR,0.667,NA,803,53.333,96,Acla
GLM_RUN3_PA1,TSS,0.781,NA,424,91.111,87,Acla
GLM_RUN3_PA1,ROC,0.943,NA,427.5,91.111,87,Acla
GLM_RUN3_PA1,FAR,0.769,NA,932,44.444,98,Acla
GLM_RUN3_PA1,ACCURACY,0.93,NA,866,75.556,95.667,Acla
GLM_RUN3_PA1,SR,0.769,NA,932,44.444,98,Acla
ANN_RUN3_PA1,TSS,0.821,NA,405,97.778,84.333,Acla
ANN_RUN3_PA1,ROC,0.956,NA,415,97.778,85,Acla
ANN_RUN3_PA1,FAR,0.875,NA,962,17.778,99.667,Acla
ANN_RUN3_PA1,ACCURACY,0.922,NA,844,68.889,95.333,Acla
ANN_RUN3_PA1,SR,0.875,NA,962,17.778,99.667,Acla
RF_RUN3_PA1,TSS,0.887,NA,204,95.556,91.667,Acla
RF_RUN3_PA1,ROC,0.983,NA,131,100,88.667,Acla
RF_RUN3_PA1,FAR,0.933,NA,960,62.222,98.667,Acla
RF_RUN3_PA1,ACCURACY,0.954,NA,510,82.222,97.333,Acla
RF_RUN3_PA1,SR,0.933,NA,960,62.222,98.667,Acla
GAM_RUN3_PA1,TSS,0.858,NA,212,97.778,88,Acla
GAM_RUN3_PA1,ROC,0.96,NA,216,97.778,88,Acla
GAM_RUN3_PA1,FAR,0.842,NA,963,35.556,98.667,Acla
GAM_RUN3_PA1,ACCURACY,0.919,NA,929.5,60,96.333,Acla
GAM_RUN3_PA1,SR,0.842,NA,963,35.556,98.667,Acla
MAXENT.Phillips_RUN4_PA1,TSS,0.77,NA,51,93.333,83.667,Acla
MAXENT.Phillips_RUN4_PA1,ROC,0.922,NA,56,93.333,84.333,Acla
MAXENT.Phillips_RUN4_PA1,FAR,0.75,NA,990,53.333,97,Acla
MAXENT.Phillips_RUN4_PA1,ACCURACY,0.916,NA,606,64.444,95.667,Acla
MAXENT.Phillips_RUN4_PA1,SR,0.75,NA,990,53.333,97,Acla
GLM_RUN4_PA1,TSS,0.771,NA,409,91.111,86,Acla
GLM_RUN4_PA1,ROC,0.902,NA,411,91.111,86,Acla
GLM_RUN4_PA1,FAR,0.667,NA,936.5,28.889,97.667,Acla
GLM_RUN4_PA1,ACCURACY,0.896,NA,908.5,48.889,95,Acla
GLM_RUN4_PA1,SR,0.667,NA,936.5,28.889,97.667,Acla
ANN_RUN4_PA1,TSS,0.846,NA,417.5,95.556,89,Acla
ANN_RUN4_PA1,ROC,0.938,NA,420,95.556,89,Acla
ANN_RUN4_PA1,FAR,0.609,NA,790.5,86.667,91.667,Acla
ANN_RUN4_PA1,ACCURACY,0.91,NA,790.5,86.667,91.667,Acla
ANN_RUN4_PA1,SR,0.609,NA,790.5,86.667,91.667,Acla
RF_RUN4_PA1,TSS,0.869,NA,185,95.556,91.333,Acla
RF_RUN4_PA1,ROC,0.975,NA,186,95.556,91.333,Acla
RF_RUN4_PA1,FAR,0.854,NA,775,77.778,98,Acla
RF_RUN4_PA1,ACCURACY,0.954,NA,770,77.778,98,Acla
RF_RUN4_PA1,SR,0.854,NA,775,77.778,98,Acla
GAM_RUN4_PA1,TSS,0.782,NA,474,88.889,89.333,Acla
GAM_RUN4_PA1,ROC,0.926,NA,472.5,88.889,89.333,Acla
GAM_RUN4_PA1,FAR,0.711,NA,928,62.222,95.667,Acla
GAM_RUN4_PA1,ACCURACY,0.916,NA,885.5,73.333,94.333,Acla
GAM_RUN4_PA1,SR,0.711,NA,928,62.222,95.667,Acla
MAXENT.Phillips_RUN5_PA1,TSS,0.523,NA,10,68.889,85.667,Acla
MAXENT.Phillips_RUN5_PA1,ROC,0.783,NA,8.5,68.889,85.667,Acla
MAXENT.Phillips_RUN5_PA1,FAR,0.558,NA,980,53.333,93.667,Acla
MAXENT.Phillips_RUN5_PA1,ACCURACY,0.884,NA,980,53.333,93.667,Acla
MAXENT.Phillips_RUN5_PA1,SR,0.558,NA,980,53.333,93.667,Acla
GLM_RUN5_PA1,TSS,0.786,NA,256.5,95.556,83,Acla
GLM_RUN5_PA1,ROC,0.929,NA,256,95.556,83,Acla
GLM_RUN5_PA1,FAR,0.632,NA,927,53.333,95.333,Acla
GLM_RUN5_PA1,ACCURACY,0.904,NA,805,82.222,91.333,Acla
GLM_RUN5_PA1,SR,0.632,NA,927,53.333,95.333,Acla
ANN_RUN5_PA1,TSS,0.846,NA,473.5,95.556,89,Acla
ANN_RUN5_PA1,ROC,0.902,NA,471,95.556,89,Acla
ANN_RUN5_PA1,FAR,0.575,NA,601,93.333,89.667,Acla
ANN_RUN5_PA1,ACCURACY,0.901,NA,601,93.333,89.667,Acla
ANN_RUN5_PA1,SR,0.575,NA,601,93.333,89.667,Acla
RF_RUN5_PA1,TSS,0.842,NA,208,95.556,88.667,Acla
RF_RUN5_PA1,ROC,0.958,NA,209.5,95.556,88.667,Acla
RF_RUN5_PA1,FAR,0.846,NA,980,48.889,98.667,Acla
RF_RUN5_PA1,ACCURACY,0.933,NA,741.5,82.222,94.667,Acla
RF_RUN5_PA1,SR,0.846,NA,980,48.889,98.667,Acla
GAM_RUN5_PA1,TSS,0.828,NA,123,97.778,84.667,Acla
