"","BO21_templtmax_ss","BO21_salinitymean_ss","BO21_icethickmean_ss","BO21_curvelmean_bdmax","BO21_ironmean_bdmax","BO21_phosphatemean_bdmax"
"BO21_templtmax_ss",1,0.113659794919151,-0.731114984356802,0.453120004568895,0.27079506330883,0.175591302104212
"BO21_salinitymean_ss",0.113659794919151,1,-0.141674788695117,0.0248066585255839,-0.648790098902001,0.308561247997649
"BO21_icethickmean_ss",-0.731114984356802,-0.141674788695117,1,-0.440793457422498,-0.291503805266172,-0.0239290806507193
"BO21_curvelmean_bdmax",0.453120004568895,0.0248066585255839,-0.440793457422498,1,0.230894363936975,-0.0808589315984987
"BO21_ironmean_bdmax",0.27079506330883,-0.648790098902001,-0.291503805266172,0.230894363936975,1,-0.416476025011513
"BO21_phosphatemean_bdmax",0.175591302104212,0.308561247997649,-0.0239290806507193,-0.0808589315984987,-0.416476025011513,1
